no_fish_caught,unidentified_species,angling,beaver_dam,id,name,code
Giant Pygmy Whitefish,Goldfish,,,2437,Canadian Hydro Developers Inc.,C178
Goldeye,Great Sculpin,,,998,Canadian Salvage Environmental Corp.,C075
Goldfish,Green Sturgeon,,,2484,Capilano College,C185
Great Sculpin,Hadley Lake Benthic Stickleback,,,999,Capital Regional District (CRD),C008
Green Sturgeon,Hadley Lake Limnetic Stickleback,,,1000,Cariboo Envirotech,C076
Hadley Lake Benthic Stickleback,Inconnu,,,5240,Carrier Sekani Tribal Council (CSTC),C1860
Hadley Lake Limnetic Stickleback,Kokanee,,,2994,Cascade Environmental Resource Group,C202
Inconnu,Lake Chub,,,3274,Cascadia Biological Services,C209
Kokanee,Lake Cisco,,,1002,Castor Consultants Ltd.,C078
Lake Chub,Lake Trout,,,3940,CBR & Associates,C560
Lake Cisco,Lake Whitefish,,,1519,Chris Schell Consulting,C173
Lake Trout,Lamprey (General),,,4861,City of Abbotsford,C1481
Lake Whitefish,Largemouth Bass,,,3394,City of Burnaby,C211
Lamprey (General),Largescale Sucker,,,3700,City of Kelowna Environment Division,C320
Largemouth Bass,Least Cisco,,,1003,Clough Consulting,C086
Largescale Sucker,Leopard Dace,,,1004,Coast Forest Management,C079
Least Cisco,Longfin Smelt,,,1005,Coast River Environmental Services Ltd.,C080
Leopard Dace,Longnose Dace,,,3474,Columbia Environmental Consulting LTD,C215
Longfin Smelt,Longnose Sucker,,,1006,Columbia Environmental Services,C081
Longnose Dace,Minnow (General),,,4580,Columbia Kootenay Fisheries Renewal Partnership,C1200
Longnose Sucker,"Misty Lake ""Lake"" Stickleback",,,3861,Columbia-Kootenay Fisheries Renewal Partnership,C481
Minnow (General),"Misty Lake ""Stream"" Stickleback",,,5100,Colville Confederated Tribes,C1720
"Misty Lake ""Lake"" Stickleback",Morrison Creek Lamprey,,,5120,Colville Confederated Tribes Fish and Wildlife,C1740
"Misty Lake ""Stream"" Stickleback",Mountain Sucker,,,1007,CRL and Associates,C082
Morrison Creek Lamprey,Mountain Whitefish,,,4200,D.R. Clough Consulting,C820
Mountain Sucker,Mountain Whitefish/Round Whitefish hybrid,,,1008,David Bustard and Associates,C087
Mountain Whitefish,Ninespine Stickleback,,,1420,DFO (Department of Fisheries and Oceans),C028
Mountain Whitefish/Round Whitefish hybrid,Nooksack Dace,,,1009,Dillon Ltd.,C117
Ninespine Stickleback,Northern Pearl Dace,,,4720,District of Kent,C1340
Nooksack Dace,Northern Pike,,,2194,Diversified Environmental Services,C032
Northern Pearl Dace,Northern Pikeminnow,,,1010,Diversified Ova Tech Ltd.,C088
Northern Pike,Northern Redbelly Dace,,,1011,Don Sinclair,C089
Northern Pikeminnow,Northern Redbelly Dace/Finescale Dace hybrid,,,3434,Drake Forestry Services,C212
Northern Redbelly Dace,Oriental Weatherfish,,,3680,Ducks Unlimited,C300
Northern Redbelly Dace/Finescale Dace hybrid,Pacific Lamprey,,,2458,DWB Forestry,C182
Oriental Weatherfish,Paxton Lake Benthic Stickleback,,,2872,DWH & Associates Fisheries Consultants,C199
Pacific Lamprey,Paxton Lake Limnetic Stickleback,,,2605,EBA Engineering Consultants Ltd,C189
Paxton Lake Benthic Stickleback,Peamouth,,,1012,ECL Envirowest Consultants Ltd.,C091
Paxton Lake Limnetic Stickleback,Perch (General),,,4680,Ecofish Research Ltd,C1300
Peamouth,Pink Salmon,,,1013,Ecofocus,C092
Perch (General),Prickly Sculpin,,,2296,Ecofor Consulting,C072
Pink Salmon,Pumpkinseed,,,2357,Ecolibrium Consulting Inc,C175
Prickly Sculpin,Pygmy Longfin Smelt,,,1014,Ecologistics Ltd.,C093
Pumpkinseed,Pygmy Whitefish,,,4520,Ecoscape Environmental Consultants Ltd.,C1140
Pygmy Longfin Smelt,Rainbow Smelt,,,4820,Ecosystems Consulting Limited,C1440
Pygmy Whitefish,Rainbow Trout,,,5260,Eco-Web Ecological Consulting Ltd.,C1880
Rainbow Smelt,Redside Shiner,,,1015,ENKON Environmental Ltd.,C094
Rainbow Trout,River Lamprey,,,1016,Entech Environmental Consultants Ltd.,C095
Redside Shiner,Rocky Mountain Sculpin,,,1017,Envirocon,C040
River Lamprey,Rocky Mountain Ridged Mussel,,,4280,Envirologic Consulting Inc.,C900
Rocky Mountain Sculpin,Round Whitefish,,,1018,Enviroment Research Consultants,C045
Rocky Mountain Ridged Mussel,Salish Sucker,,,3800,Environment Resolution Services,C420
Round Whitefish,Salmon (General),,,1019,Environment Sciences,C055
Salish Sucker,Sculpin (General),,,1020,Environmental Dynamics Inc.,C160
Salmon (General),Sharpnose Sculpin,,,1021,Environmental Protection Service,C009
Sculpin (General),Shorthead Sculpin,,,1022,EnviroResource Consulting Ltd.,C096
Sharpnose Sculpin,Signal Crayfish,,,3840,Eric A. Miller,C460
Shorthead Sculpin,Slimy Sculpin,,,1023,EVS Consultants,C030
Signal Crayfish,Smallmouth Bass,,,5180,EWD Consulting Corp.,C1800
Slimy Sculpin,Smelt (General),,,1297,FINS Consulting Ltd.,C016
Smallmouth Bass,Sockeye Salmon,,,1024,Fishfor Contracting,C098
Smelt (General),Speckled Dace,,,5080,FLNRO,C1700
Sockeye Salmon,Splake (Brook Trout/Lake Trout hybrid),,,3254,Forest Floor Contracting,C208
Speckled Dace,Spoonhead Sculpin,,,2377,Forsite Consultants Ltd,C176
Splake (Brook Trout/Lake Trout hybrid),Spottail Shiner,,,1025,G3 Consulting Ltd.,C099
Spoonhead Sculpin,Staghorn Sculpin,,,1026,Gartner Lee Ltd.,C100
Spottail Shiner,Starry Flounder,,,1027,Geoalpine Environmental Consulting,C101
Staghorn Sculpin,Steelhead,,,5320,GeoMarine Environmental Consultants Ltd,C1940
Starry Flounder,Steelhead (Summer-run),,,1028,Geomatics International Inc.,C102
Steelhead,Steelhead (Winter-run),,,5223,GG Oliver and Associates Environmental Science,C1843
Steelhead (Summer-run),Stickleback (General),,,1378,Glenfir Resources,C023
Steelhead (Winter-run),Sturgeon (General),,,1029,Global Fisheries Consultants Ltd.,C103
Stickleback (General),Sucker (General),,,1030,Golder Associates Ltd.,C104
Sturgeon (General),Surf Smelt,,,4663,Gordon Oliphant,C1283
Sucker (General),Tench,,,2765,Haida Fisheries Program,C196
Surf Smelt,Threespine Stickleback,,,1031,Hallam Knight Plesold Ltd.,C105
Tench,Tidepool Sculpin,,,5341,Hallstrom Associates Environmental,C1961
Threespine Stickleback,Torrent Sculpin,,,1032,Hatfield Consulting Ltd.,C060
Tidepool Sculpin,Trout Perch,,,5226,Hemmera,C1846
Torrent Sculpin,Umatilla Dace,,,1797,Hyla Environmental Consultants,C037
Trout Perch,Vananda Creek (Balkwill Lake) Benthic Stickleback,,,4363,Idaho State University,C983
Umatilla Dace,Vananda Creek (Balkwill Lake) Limnetic Stickleback,,,1033,IEC (International Env. Cons.),C059
Vananda Creek (Balkwill Lake) Benthic Stickleback,Vananda Creek (Emily Lake) Benthic Stickleback,,,1034,Independent Consultant,C058
Vananda Creek (Balkwill Lake) Limnetic Stickleback,Vananda Creek (Emily Lake)  Limnetic Stickleback,,,1035,Industrial Forestry Service Ltd.,C106
Vananda Creek (Emily Lake) Benthic Stickleback,Vananda Creek (Priest Lake) Benthic Stickleback,,,1276,Ingersol Mountain Enterprise Ltd.,C014
Vananda Creek (Emily Lake)  Limnetic Stickleback,Vananda Creek (Priest Lake) Limnetic Stickleback,,,2705,Inland Timber Management Ltd.,C193
Vananda Creek (Priest Lake) Benthic Stickleback,Vancouver Lamprey,,,1036,Interior Reforestation Co. Ltd.,C107
Vananda Creek (Priest Lake) Limnetic Stickleback,Walleye,,,4180,IRC Integrated Resource Consultants Inc.,C800
Vancouver Lamprey,Western Brook Lamprey,,,3374,Jacques Whitford Environment Ltd.,C210
Walleye,Western Floater,,,5201,Jacques Whitford Limited,C1821
Western Brook Lamprey,Western Pearlshell,,,4220,Jennings Fisheries Consulting,C840
Western Floater,Westslope Cutthroat Trout,,,3094,Joseph De Gisi and Associates,C206
Western Pearlshell,White Sturgeon,,,1037,Kallahin Surveying,C108
Westslope Cutthroat Trout,White Sucker,,,1038,Kerr Wood Leidal Associates Ltd.,C109
White Sturgeon,Whitefish (General),,,2215,Kingfisher Environmental,C043
White Sucker,Winged Floater,,,1039,Klohn-Crippen Consultants Ltd.,C110
Whitefish (General),Yellow Bullhead,,,1040,Kokanee Forests Consulting Ltd.,C111
Winged Floater,Yellow Perch,,,1041,Ktunaxa/Kinbasket Tribal Council,C112
